Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1995,68,Writing (Screenplay Based on Material Previously Produced or Published),1,Emma Thompson,,Sense and Sensibility,
1995,68,Music (Original Dramatic Score),1,Luis Enrique Bacalov,,The Postman (Il Postino),
1995,68,Actor in a Supporting Role,1,Kevin Spacey,,The Usual Suspects,
1995,68,Writing (Screenplay Written Directly for the Screen),1,Christopher McQuarrie,,The Usual Suspects,
1995,68,Special Achievement Award,1,John Lasseter,,Toy Story,
1996,69,Documentary (Short Subject),1,Jessica Yu,,Breathing Lessons: The Life and Work of Mark O'Brien,
1996,69,Short Film (Live Action),1,"David Frankel, Barry Jossen",,Dear Diary,
1996,69,Music (Original Musical or Comedy Score),1,Rachel Portman,,Emma,
1996,69,Music (Original Song),1,Music by Andrew Lloyd Webber; Lyric by Tim Rice,"""You Must Love Me""",Evita,
1996,69,Actress in a Leading Role,1,Frances McDormand,,Fargo,
1996,69,Writing (Screenplay Written Directly for the Screen),1,"Ethan Coen, Joel Coen",,Fargo,
1996,69,Visual Effects,1,"Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil",,Independence Day,
1996,69,Actor in a Supporting Role,1,"Cuba Gooding, Jr.",,Jerry Maguire,
1996,69,Foreign Language Film,1,Czech Republic,,Kolya,
1996,69,Award of Commendation,1,Joe Lombardi,,NA,NA
1996,69,Honorary Award,1,Michael Kidd,,NA,NA
1996,69,Irving G. Thalberg Memorial Award,1,Saul Zaentz,,NA,NA
1996,69,John A. Bonner Medal of Commendation,1,Volker W. Bahnemann,,NA,NA
1996,69,John A. Bonner Medal of Commendation,1,"Burton ""Bud"" Stone",,NA,NA
1996,69,Short Film (Animated),1,"Tyron Montgomery, Thomas Stellmach",,Quest,
1996,69,Actor in a Leading Role,1,Geoffrey Rush,,Shine,
1996,69,Writing (Screenplay Based on Material Previously Produced or Published),1,Billy Bob Thornton,,Sling Blade,
1996,69,Actress in a Supporting Role,1,Juliette Binoche,,The English Patient,tt0116209
1996,69,Art Direction,1,Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan,,The English Patient,tt0116209
1996,69,Best Picture,1,"Saul Zaentz, Producer",,The English Patient,tt0116209
1996,69,Cinematography,1,John Seale,,The English Patient,tt0116209
1996,69,Costume Design,1,Ann Roth,,The English Patient,tt0116209
1996,69,Directing,1,Anthony Minghella,,The English Patient,tt0116209
1996,69,Film Editing,1,Walter Murch,,The English Patient,tt0116209
1996,69,Music (Original Dramatic Score),1,Gabriel Yared,,The English Patient,tt0116209
1996,69,Sound,1,"Walter Murch, Mark Berger, David Parker, Chris Newman",,The English Patient,tt0116209
1996,69,Sound Effects Editing,1,Bruce Stambler,,The Ghost and the Darkness,
1996,69,Makeup,1,"Rick Baker, David LeRoy Anderson",,The Nutty Professor,
1996,69,Documentary (Feature),1,"Leon Gast, David Sonenberg",,When We Were Kings,
1997,70,Documentary (Short Subject),1,"Donna Dewey, Carol Pasternak",,A Story of Healing,
1997,70,Actor in a Leading Role,1,Jack Nicholson,,As Good as It Gets,
1997,70,Actress in a Leading Role,1,Helen Hunt,,As Good as It Gets,
1997,70,Foreign Language Film,1,The Netherlands,,Character,
1997,70,Short Film (Animated),1,Jan Pinkava,,Geri's Game,
1997,70,Actor in a Supporting Role,1,Robin Williams,,Good Will Hunting,
1997,70,Writing (Screenplay Written Directly for the Screen),1,"Ben Affleck, Matt Damon",,Good Will Hunting,
1997,70,Actress in a Supporting Role,1,Kim Basinger,,L.A. Confidential,
1997,70,Writing (Screenplay Based on Material Previously Produced or Published),1,"Brian Helgeland, Curtis Hanson",,L.A. Confidential,
1997,70,Makeup,1,"Rick Baker, David LeRoy Anderson",,Men in Black,
1997,70,Gordon E. Sawyer Award,1,Don Iwerks,,NA,NA
1997,70,Honorary Award,1,Stanley Donen,,NA,NA
1997,70,John A. Bonner Medal of Commendation,1,Pete Clark,,NA,NA
1997,70,Music (Original Musical or Comedy Score),1,Anne Dudley,,The Full Monty,
1997,70,Documentary (Feature),1,"Rabbi Marvin Hier, Richard Trank",,The Long Way Home,
1997,70,Music (Original Song),1,Music by James Horner; Lyric by Will Jennings,"""My Heart Will Go On""",Titanic,
1997,70,Art Direction,1,Art Direction: Peter Lamont; Set Decoration: Michael Ford,,Titanic,t0120338
1997,70,Best Picture,1,"James Cameron and Jon Landau, Producers",,Titanic,t0120338
1997,70,Cinematography,1,Russell Carpenter,,Titanic,t0120338
1997,70,Costume Design,1,Deborah L. Scott,,Titanic,t0120338
1997,70,Directing,1,James Cameron,,Titanic,t0120338
1997,70,Film Editing,1,"Conrad Buff, James Cameron, Richard A. Harris",,Titanic,t0120338
1997,70,Music (Original Dramatic Score),1,James Horner,,Titanic,t0120338
1997,70,Sound,1,"Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano",,Titanic,t0120338
1997,70,Sound Effects Editing,1,"Tom Bellfort, Christopher Boyes",,Titanic,t0120338
1997,70,Visual Effects,1,"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer",,Titanic,t0120338
1997,70,Short Film (Live Action),1,"Chris Tashima, Chris Donahue",,Visas and Virtue,
1998,71,Actor in a Supporting Role,1,James Coburn,,Affliction,
1998,71,Short Film (Animated),1,Chris Wedge,,Bunny,
1998,71,Short Film (Live Action),1,"Kim Magnusson, Anders Thomas Jensen",,Election Night (Valgaften),
1998,71,Makeup,1,Jenny Shircore,,Elizabeth,
1998,71,Writing (Screenplay Based on Material Previously Produced or Published),1,Bill Condon,,Gods and Monsters,
1998,71,Actor in a Leading Role,1,Roberto Benigni,,Life Is Beautiful,
1998,71,Foreign Language Film,1,Italy,,Life Is Beautiful,
1998,71,Music (Original Dramatic Score),1,Nicola Piovani,,Life Is Beautiful,
1998,71,Honorary Award,1,Elia Kazan,,NA,NA
1998,71,Irving G. Thalberg Memorial Award,1,Norman Jewison,,NA,NA
1998,71,John A. Bonner Medal of Commendation,1,David W. Gray,,NA,NA
1998,71,Cinematography,1,Janusz Kaminski,,Saving Private Ryan,tt0120815
1998,71,Directing,1,Steven Spielberg,,Saving Private Ryan,tt0120815
1998,71,Film Editing,1,Michael Kahn,,Saving Private Ryan,tt0120815
1998,71,Sound,1,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins",,Saving Private Ryan,tt0120815
1998,71,Sound Effects Editing,1,"Gary Rydstrom, Richard Hymns",,Saving Private Ryan,tt0120815
1998,71,Actress in a Leading Role,1,Gwyneth Paltrow,,Shakespeare in Love,tt0138097
1998,71,Actress in a Supporting Role,1,Judi Dench,,Shakespeare in Love,tt0138097
1998,71,Art Direction,1,Art Direction: Martin Childs; Set Decoration: Jill Quertier,,Shakespeare in Love,tt0138097
1998,71,Best Picture,1,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",,Shakespeare in Love,tt0138097
1998,71,Costume Design,1,Sandy Powell,,Shakespeare in Love,tt0138097
1998,71,Music (Original Musical or Comedy Score),1,Stephen Warbeck,,Shakespeare in Love,tt0138097
1998,71,Writing (Screenplay Written Directly for the Screen),1,"Marc Norman, Tom Stoppard",,Shakespeare in Love,tt0138097
1998,71,Documentary (Feature),1,"James Moll, Ken Lipper",,The Last Days,tt0174852
1998,71,Documentary (Short Subject),1,Keiko Ibi,,The Personals: Improvisations on Romance in the Golden Years,
1998,71,Music (Original Song),1,Music and Lyric by Stephen Schwartz,"""When You Believe""",The Prince of Egypt,
1998,71,Visual Effects,1,"Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack",,What Dreams May Come,
1999,72,Foreign Language Film,1,Spain,,All about My Mother,
1999,72,Actor in a Leading Role,1,Kevin Spacey,,American Beauty,tt0169547
1999,72,Best Picture,1,"Bruce Cohen and Dan Jinks, Producers",,American Beauty,tt0169547
1999,72,Cinematography,1,Conrad L. Hall,,American Beauty,tt0169547
1999,72,Directing,1,Sam Mendes,,American Beauty,tt0169547
1999,72,Writing (Screenplay Written Directly for the Screen),1,Alan Ball,,American Beauty,tt0169547
1999,72,Actress in a Leading Role,1,Hilary Swank,,Boys Don't Cry,
1999,72,Actress in a Supporting Role,1,Angelina Jolie,,"Girl, Interrupted",
1999,72,Documentary (Short Subject),1,"Susan Hannah Hadary, William A. Whiteford",,King Gimp,
1999,72,Short Film (Live Action),1,"Barbara Schock, Tammy Tiehel",,My Mother Dreams the Satan's Disciples in New York,
1999,72,Award of Commendation,1,"FPC, Incorporated",,NA,NA
1999,72,Gordon E. Sawyer Award,1,Roderick T. Ryan,,NA,NA
1999,72,Honorary Award,1,Andrzej Wajda,,NA,NA
1999,72,Irving G. Thalberg Memorial Award,1,Warren Beatty,,NA,NA
1999,72,John A. Bonner Medal of Commendation,1,Edmund M. Di Giulio,,NA,NA
1999,72,John A. Bonner Medal of Commendation,1,Takuo Miyagishima,,NA,NA
1999,72,Documentary (Feature),1,"Arthur Cohn, Kevin Macdonald",,One Day in September,
1999,72,Art Direction,1,Art Direction: Rick Heinrichs; Set Decoration: Peter Young,,Sleepy Hollow,
1999,72,Music (Original Song),1,Music and Lyric by Phil Collins,"""You'll Be In My Heart""",Tarzan,
1999,72,Actor in a Supporting Role,1,Michael Caine,,The Cider House Rules,
1999,72,Writing (Screenplay Based on Material Previously Produced or Published),1,John Irving,,The Cider House Rules,
1999,72,Film Editing,1,Zach Staenberg,,The Matrix,
1999,72,Sound,1,"John Reitz, Gregg Rudloff, David Campbell, David Lee",,The Matrix,
1999,72,Sound Effects Editing,1,Dane A. Davis,,The Matrix,
1999,72,Visual Effects,1,"John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum",,The Matrix,
1999,72,Short Film (Animated),1,Alexander Petrov,,The Old Man and the Sea,
1999,72,Music (Original Score),1,John Corigliano,,The Red Violin,
1999,72,Costume Design,1,Lindy Hemming,,Topsy-Turvy,
1999,72,Makeup,1,"Christine Blundell, Trefor Proud",,Topsy-Turvy,
2000,73,Writing (Screenplay Written Directly for the Screen),1,Written by Cameron Crowe,,Almost Famous,
2000,73,Documentary (Short Subject),1,Tracy Seretean,,Big Mama,
2000,73,Art Direction,1,Tim Yip,,"Crouching Tiger, Hidden Dragon",
2000,73,Cinematography,1,Peter Pau,,"Crouching Tiger, Hidden Dragon",
2000,73,Foreign Language Film,1,Taiwan,,"Crouching Tiger, Hidden Dragon",
2000,73,Music (Original Score),1,Tan Dun,,"Crouching Tiger, Hidden Dragon",
2000,73,Makeup,1,"Rick Baker, Gail Ryan",,Dr. Seuss' How the Grinch Stole Christmas,
2000,73,Actress in a Leading Role,1,Julia Roberts,,Erin Brockovich,
2000,73,Short Film (Animated),1,Michael Dudok de Wit,,Father and Daughter,
2000,73,Actor in a Leading Role,1,Russell Crowe,,Gladiator,tt0172495
2000,73,Best Picture,1,"Douglas Wick, David Franzoni and Branko Lustig, Producers",,Gladiator,tt0172495
2000,73,Costume Design,1,Janty Yates,,Gladiator,tt0172495
2000,73,Sound,1,"Scott Millan, Bob Beemer, Ken Weston",,Gladiator,tt0172495
2000,73,Visual Effects,1,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey",,Gladiator,tt0172495
2000,73,Documentary (Feature),1,"Mark Jonathan Harris, Deborah Oppenheimer",,Into the Arms of Strangers: Stories of the Kindertransport,
2000,73,Award of Commendation,1,"Ioan Allen, Robin Bransbury and Mark Harrah",,NA,NA
2000,73,Gordon E. Sawyer Award,1,Irwin W. Young,,NA,NA
2000,73,Honorary Award,1,Jack Cardiff,,NA,NA
2000,73,Honorary Award,1,Ernest Lehman,,NA,NA
2000,73,Irving G. Thalberg Memorial Award,1,Dino De Laurentiis,,NA,NA
2000,73,John A. Bonner Medal of Commendation,1,"N. Paul Kenworthy, Jr.",,NA,NA
2000,73,Actress in a Supporting Role,1,Marcia Gay Harden,,Pollock,
2000,73,Short Film (Live Action),1,Florian Gallenberger,,Quiero Ser (I want to be...),
2000,73,Actor in a Supporting Role,1,Benicio Del Toro,,Traffic,
2000,73,Directing,1,Steven Soderbergh,,Traffic,
2000,73,Film Editing,1,Stephen Mirrione,,Traffic,
2000,73,Writing (Screenplay Based on Material Previously Produced or Published),1,Screenplay by Stephen Gaghan,,Traffic,
2000,73,Sound Editing,1,Jon Johnson,,U-571,
2000,73,Music (Original Song),1,Music and Lyric by Bob Dylan,"""Things Have Changed""",Wonder Boys,
2001,74,Actress in a Supporting Role,1,Jennifer Connelly,,A Beautiful Mind,tt0268978
2001,74,Best Picture,1,"Brian Grazer and Ron Howard, Producers",,A Beautiful Mind,tt0268978
2001,74,Directing,1,Ron Howard,,A Beautiful Mind,tt0268978
2001,74,Writing (Screenplay Based on Material Previously Produced or Published),1,Written by Akiva Goldsman,,A Beautiful Mind,tt0268978
2001,74,Animated Feature Film,1,Shrek,,Aron Warner,
2001,74,Film Editing,1,Pietro Scalia,,Black Hawk Down,
2001,74,Sound,1,"Michael Minkler, Myron Nettinga, Chris Munro",,Black Hawk Down,
2001,74,Short Film (Animated),1,Ralph Eggleston,,For the Birds,
2001,74,Writing (Screenplay Written Directly for the Screen),1,Written by Julian Fellowes,,Gosford Park,
2001,74,Actor in a Supporting Role,1,Jim Broadbent,,Iris,
2001,74,Actress in a Leading Role,1,Halle Berry,,Monster's Ball,
2001,74,Music (Original Song),1,Music and Lyric by Randy Newman,"""If I Didn't Have You""","Monsters, Inc.",
2001,74,Art Direction,1,Art Direction: Catherine Martin; Set Decoration: Brigitte Broch,,Moulin Rouge,
2001,74,Costume Design,1,"Catherine Martin, Angus Strathie",,Moulin Rouge,
2001,74,Documentary (Feature),1,"Jean-Xavier de Lestrade, Denis Poncet",,Murder on a Sunday Morning,
2001,74,Award of Commendation,1,Rune Ericson,,NA,NA
2001,74,Award of Commendation,1,The American Society of Cinematographers (ASC),,NA,NA
2001,74,Gordon E. Sawyer Award,1,Edmund M. Di Giulio,,NA,NA
2001,74,Honorary Award,1,Sidney Poitier,,NA,NA
2001,74,Honorary Award,1,Robert Redford,,NA,NA
2001,74,Jean Hersholt Humanitarian Award,1,Arthur Hiller,,NA,NA
2001,74,John A. Bonner Medal of Commendation,1,Ray Feeney,,NA,NA
2001,74,Foreign Language Film,1,Bosnia & Herzegovina,,No Man's Land,
2001,74,Sound Editing,1,"George Watters II, Christopher Boyes",,Pearl Harbor,
2001,74,Short Film (Live Action),1,"Ray McKinnon, Lisa Blount",,the accountant,
2001,74,Cinematography,1,Andrew Lesnie,,The Lord of the Rings: The Fellowship of the Ring,tt0120737
2001,74,Makeup,1,"Peter Owen, Richard Taylor",,The Lord of the Rings: The Fellowship of the Ring,tt0120737
2001,74,Music (Original Score),1,Howard Shore,,The Lord of the Rings: The Fellowship of the Ring,tt0120737
2001,74,Visual Effects,1,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",,The Lord of the Rings: The Fellowship of the Ring,tt0120737
2001,74,Documentary (Short Subject),1,"Sarah Kernochan, Lynn Appelle",,Thoth,
2001,74,Actor in a Leading Role,1,Denzel Washington,,Training Day,
2002,75,Music (Original Song),1,"Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem","""Lose Yourself""",8 Mile,
2002,75,Actor in a Supporting Role,1,Chris Cooper,,Adaptation,
2002,75,Documentary (Feature),1,"Michael Moore, Michael Donovan",,Bowling for Columbine,
2002,75,Actress in a Supporting Role,1,Catherine Zeta-Jones,,Chicago,tt0299658
2002,75,Art Direction,1,Art Direction: John Myhre; Set Decoration: Gordon Sim,,Chicago,tt0299658
2002,75,Best Picture,1,"Martin Richards, Producer",,Chicago,tt0299658
2002,75,Costume Design,1,Colleen Atwood,,Chicago,tt0299658
2002,75,Film Editing,1,Martin Walsh,,Chicago,tt0299658
2002,75,Sound,1,"Michael Minkler, Dominick Tavella, David Lee",,Chicago,tt0299658
2002,75,Makeup,1,"John Jackson, Beatrice De Alba",,Frida,
2002,75,Music (Original Score),1,Elliot Goldenthal,,Frida,
2002,75,Animated Feature Film,1,Spirited Away,,Hayao Miyazaki,
2002,75,Honorary Award,1,Peter O'Toole,,NA,NA
2002,75,John A. Bonner Medal of Commendation,1,Curt R. Behlmer,,NA,NA
2002,75,John A. Bonner Medal of Commendation,1,Richard B. Glickman,,NA,NA
2002,75,Foreign Language Film,1,Germany,,Nowhere in Africa,
2002,75,Cinematography,1,Conrad L. Hall,,Road to Perdition,
2002,75,Writing (Original Screenplay),1,Written by Pedro Almodóvar,,Talk to Her,
2002,75,Short Film (Animated),1,Eric Armstrong,,The ChubbChubbs!,
2002,75,Actress in a Leading Role,1,Nicole Kidman,,The Hours,
2002,75,Sound Editing,1,"Ethan Van der Ryn, Michael Hopkins",,The Lord of the Rings: The Two Towers,tt0167261
2002,75,Visual Effects,1,"Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke",,The Lord of the Rings: The Two Towers,tt0167261
2002,75,Actor in a Leading Role,1,Adrien Brody,,The Pianist,
2002,75,Directing,1,Roman Polanski,,The Pianist,
2002,75,Writing (Adapted Screenplay),1,Screenplay by Ronald Harwood,,The Pianist,
2002,75,Short Film (Live Action),1,"Martin Strange-Hansen, Mie Andreasen",,This Charming Man (Der Er En Yndig Mand),
2002,75,Documentary (Short Subject),1,"Bill Guttentag, Robert David Port",,Twin Towers,
2003,76,Animated Feature Film,1,Finding Nemo,,Andrew Stanton,
2003,76,Documentary (Short Subject),1,Maryann DeLeo,,Chernobyl Heart,
2003,76,Actress in a Supporting Role,1,Renée Zellweger,,Cold Mountain,
2003,76,Short Film (Animated),1,Adam Elliot,,Harvie Krumpet,
2003,76,Writing (Original Screenplay),1,Written by Sofia Coppola,,Lost in Translation,
2003,76,Cinematography,1,Russell Boyd,,Master and Commander: The Far Side of the World,
2003,76,Sound Editing,1,Richard King,,Master and Commander: The Far Side of the World,
2003,76,Actress in a Leading Role,1,Charlize Theron,,Monster,
2003,76,Actor in a Leading Role,1,Sean Penn,,Mystic River,
2003,76,Actor in a Supporting Role,1,Tim Robbins,,Mystic River,
2003,76,Gordon E. Sawyer Award,1,Peter D. Parks,,NA,NA
2003,76,Honorary Award,1,Blake Edwards,,NA,NA
2003,76,John A. Bonner Medal of Commendation,1,Douglas Greenfield,,NA,NA
2003,76,Foreign Language Film,1,Canada,,The Barbarian Invasions,
2003,76,Documentary (Feature),1,Errol Morris and Michael Williams,,The Fog of War,
2003,76,Music (Original Song),1,Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox,"""Into The West""",The Lord of the Rings: The Return of the King,
2003,76,Art Direction,1,Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee,,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Best Picture,1,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Costume Design,1,Ngila Dickson and Richard Taylor,,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Directing,1,Peter Jackson,,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Film Editing,1,Jamie Selkirk,,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Makeup,1,Richard Taylor and Peter King,,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Music (Original Score),1,Howard Shore,,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Sound Mixing,1,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek",,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Visual Effects,1,"Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke",,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Writing (Adapted Screenplay),1,"Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson",,The Lord of the Rings: The Return of the King,tt0167260
2003,76,Short Film (Live Action),1,Aaron Schneider and Andrew J. Sacks,,Two Soldiers,
2004,77,Documentary (Feature),1,Ross Kauffman and Zana Briski,,Born into Brothels,
2004,77,Animated Feature Film,1,The Incredibles,,Brad Bird,
2004,77,Writing (Original Screenplay),1,Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth,,Eternal Sunshine of the Spotless Mind,
2004,77,Music (Original Score),1,Jan A.P. Kaczmarek,,Finding Neverland,
2004,77,Makeup,1,Valli O'Reilly and Bill Corso,,Lemony Snicket's A Series of Unfortunate Events,
2004,77,Documentary (Short Subject),1,Robert Hudson and Bobby Houston,,Mighty Times: The Children's March,
2004,77,Actor in a Supporting Role,1,Morgan Freeman,,Million Dollar Baby,
2004,77,Actress in a Leading Role,1,Hilary Swank,,Million Dollar Baby,
2004,77,Best Picture,1,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",,Million Dollar Baby,
2004,77,Directing,1,Clint Eastwood,,Million Dollar Baby,
2004,77,Award of Commendation,1,Arthur Widmer,,NA,NA
2004,77,Gordon E. Sawyer Award,1,Takuo Miyagishima,,NA,NA
2004,77,Honorary Award,1,Sidney Lumet,,NA,NA
2004,77,Jean Hersholt Humanitarian Award,1,Roger Mayer,,NA,NA
2004,77,Actor in a Leading Role,1,Jamie Foxx,,Ray,
2004,77,Sound Mixing,1,"Scott Millan, Greg Orloff, Bob Beemer and Steve Cantamessa",,Ray,
2004,77,Short Film (Animated),1,Chris Landreth,,Ryan,
2004,77,Writing (Adapted Screenplay),1,Screenplay by Alexander Payne & Jim Taylor,,Sideways,
2004,77,Visual Effects,1,"John Dykstra, Scott Stokdyk, Anthony LaMolinara and John Frazier",,Spider-Man 2,
2004,77,Actress in a Supporting Role,1,Cate Blanchett,,The Aviator,tt0338751
2004,77,Art Direction,1,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,,The Aviator,tt0338751
2004,77,Cinematography,1,Robert Richardson,,The Aviator,tt0338751
2004,77,Costume Design,1,Sandy Powell,,The Aviator,tt0338751
2004,77,Film Editing,1,Thelma Schoonmaker,,The Aviator,tt0338751
2004,77,Sound Editing,1,Michael Silvers and Randy Thom,,The Incredibles,
2004,77,Music (Original Song),1,Music and Lyric by Jorge Drexler,"""Al Otro Lado Del Río""",The Motorcycle Diaries,
2004,77,Foreign Language Film,1,Spain,,The Sea Inside,
2004,77,Short Film (Live Action),1,Andrea Arnold,,Wasp,
2005,78,Documentary (Short Subject),1,Corinne Marrinan and Eric Simonson,,A Note of Triumph: The Golden Age of Norman Corwin,
2005,78,Directing,1,Ang Lee,,Brokeback Mountain,
2005,78,Music (Original Score),1,Gustavo Santaolalla,,Brokeback Mountain,
2005,78,Writing (Adapted Screenplay),1,Screenplay by Larry McMurtry & Diana Ossana,,Brokeback Mountain,
2005,78,Actor in a Leading Role,1,Philip Seymour Hoffman,,Capote,
2005,78,Best Picture,1,"Paul Haggis and Cathy Schulman, Producers",,Crash,
2005,78,Film Editing,1,Hughes Winborne,,Crash,
2005,78,Writing (Original Screenplay),1,Screenplay by Paul Haggis & Bobby Moresco; Story by Paul Haggis,,Crash,
2005,78,Music (Original Song),1,"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard","""It's Hard Out Here For A Pimp""",Hustle & Flow,
2005,78,Sound Editing,1,Mike Hopkins and Ethan Van der Ryn,,King Kong,
2005,78,Sound Mixing,1,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek",,King Kong,
2005,78,Visual Effects,1,"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor",,King Kong,
2005,78,Documentary (Feature),1,Luc Jacquet and Yves Darondeau,,March of the Penguins,
2005,78,Art Direction,1,Art Direction: John Myhre; Set Decoration: Gretchen Rau,,Memoirs of a Geisha,
2005,78,Cinematography,1,Dion Beebe,,Memoirs of a Geisha,
2005,78,Costume Design,1,Colleen Atwood,,Memoirs of a Geisha,
2005,78,Gordon E. Sawyer Award,1,Gary Demos,,NA,NA
2005,78,Honorary Award,1,Robert Altman,,NA,NA
2005,78,John A. Bonner Medal of Commendation,1,Don Hall,,NA,NA
2005,78,Animated Feature Film,1,Wallace & Gromit in The Curse of the Were-Rabbit,,Nick Park and Steve Box,
2005,78,Short Film (Live Action),1,Martin McDonagh,,Six Shooter,
2005,78,Actor in a Supporting Role,1,George Clooney,,Syriana,
2005,78,Makeup,1,Howard Berger and Tami Lane,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2005,78,Actress in a Supporting Role,1,Rachel Weisz,,The Constant Gardener,
2005,78,Short Film (Animated),1,John Canemaker and Peggy Stern,,The Moon and the Son: An Imagined Conversation,
2005,78,Foreign Language Film,1,South Africa,,Tsotsi,
2005,78,Actress in a Leading Role,1,Reese Witherspoon,,Walk the Line,
2006,79,Music (Original Song),1,Music and Lyric by Melissa Etheridge,"""I Need To Wake Up""",An Inconvenient Truth,
2006,79,Documentary (Feature),1,Davis Guggenheim,,An Inconvenient Truth,
2006,79,Music (Original Score),1,Gustavo Santaolalla,,Babel,
2006,79,Actress in a Supporting Role,1,Jennifer Hudson,,Dreamgirls,
2006,79,Sound Mixing,1,"Michael Minkler, Bob Beemer and Willie Burton",,Dreamgirls,
2006,79,Animated Feature Film,1,Happy Feet,,George Miller,
2006,79,Sound Editing,1,Alan Robert Murray and Bub Asman,,Letters from Iwo Jima,
2006,79,Actor in a Supporting Role,1,Alan Arkin,,Little Miss Sunshine,
2006,79,Writing (Original Screenplay),1,Written by Michael Arndt,,Little Miss Sunshine,
2006,79,Costume Design,1,Milena Canonero,,Marie Antoinette,
2006,79,Award of Commendation,1,"Ioan Allen, J. Wayne Anderson, Mary Ann Anderson, Ted Costas, Paul R. Goldberg, Shawn Jones, Thomas Kuhn, Dr. Alan Masson, Colin Mossman, Martin Richards, Frank Ricotta and Richard C. Sehlin",,NA,NA
2006,79,Gordon E. Sawyer Award,1,Ray Feeney,,NA,NA
2006,79,Honorary Award,1,Ennio Morricone,,NA,NA
2006,79,Jean Hersholt Humanitarian Award,1,Sherry Lansing,,NA,NA
2006,79,John A. Bonner Medal of Commendation,1,Richard Edlund,,NA,NA
2006,79,Art Direction,1,Art Direction: Eugenio Caballero; Set Decoration: Pilar Revuelta,,Pan's Labyrinth,
2006,79,Cinematography,1,Guillermo Navarro,,Pan's Labyrinth,
2006,79,Makeup,1,David Martí and Montse Ribé,,Pan's Labyrinth,
2006,79,Visual Effects,1,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall",,Pirates of the Caribbean: Dead Man's Chest,
2006,79,Documentary (Short Subject),1,Ruby Yang and Thomas Lennon,,The Blood of Yingzhou District,
2006,79,Short Film (Animated),1,Torill Kove,,The Danish Poet,
2006,79,Best Picture,1,"Graham King, Producer",,The Departed,
2006,79,Directing,1,Martin Scorsese,,The Departed,
2006,79,Film Editing,1,Thelma Schoonmaker,,The Departed,
2006,79,Writing (Adapted Screenplay),1,Screenplay by William Monahan,,The Departed,
2006,79,Actor in a Leading Role,1,Forest Whitaker,,The Last King of Scotland,tt0455590
2006,79,Foreign Language Film,1,Germany,,The Lives of Others,
2006,79,Actress in a Leading Role,1,Helen Mirren,,The Queen,
2006,79,Short Film (Live Action),1,Ari Sandel,,West Bank Story,tt0438575
2007,80,Music (Original Score),1,Dario Marianelli,,Atonement,
2007,80,Animated Feature Film,1,Ratatouille,,Brad Bird,
2007,80,Costume Design,1,Alexandra Byrne,,Elizabeth: The Golden Age,
2007,80,Documentary (Short Subject),1,Cynthia Wade and Vanessa Roth,,Freeheld,
2007,80,Writing (Original Screenplay),1,Written by Diablo Cody,,Juno,
2007,80,Actress in a Leading Role,1,Marion Cotillard,,La Vie en Rose,
2007,80,Makeup,1,Didier Lavergne and Jan Archibald,,La Vie en Rose,
2007,80,Short Film (Live Action),1,Philippe Pollet-Villard,,Le Mozart des Pickpockets (The Mozart of Pickpockets),
2007,80,Actress in a Supporting Role,1,Tilda Swinton,,Michael Clayton,
2007,80,Award of Commendation,1,Jonathan Erland,,NA,NA
